1;Attirant pour reconquerir votre ex;glamour;mode;chemise;cravate_bleu.png
2;Avant-première d'un grand film sur tapis rouge;glamour;bleu;;costume_bleu.png
3;Avoir du style en imprimes mixes;imprime;casual;mode;jogging_militaire.png
4;Ayez du style avec de la maille;maille;casual;;gilet_noir.png
5;Baptêeme de votre filleul;ceremonie;chemise;;chic_noir.png
6;Branche avec une veste en cuir;mode;;;veste_cuir.png
7;Celebration a la mairie des noces de diamant de vos grands-parents;ceremonie;rouge;;costume_rouge.png
8;C'est le jour de votre mariage;ceremonie;;;costume_noir.png
9;Chic en dore ou en argente;mode;gris;;doudoune_orange.png
10;Chic en fripes;fripe;casual;;chapeau_noir.png
11;Chic en pull;glamour;;;pull_gris.png
12;Chic en short;mode;;;short_jaune.png
13;Cocktail chic au bord d'une piscine;ete;glamour;;lunette_orange.png
14;Cocktail d'inauguration d'une exposition;glamour;ceremonie;;chinot-bleu.png
15;Cocktail sur un yacht a Saint-Tropez;glamour;mode;;chapeau_paille.png
16;Convocation chez le directeur general;city;;;chinot-rouge.png
17;Defile de mode en noir et blanc;blanc;noir;;
18;Diner a la table du capitaine lors d'une croisieère;mode;ete;;
19;Diner au restaurant avec votre patron et sa femme;city;ceremonie;;
20;Diner avec mon ex;glamour;mode;;
21;Diner dans un restaurant chic;mode;glamour;;
22;Diner de reconciliation apreès une dispute;glamour;chemise;;
23;Diner romantique a la campagne au coin du feu;casual;;;
24;Elegant avec un style masculin-feminin;feminin;glamour;;
25;Elegant en imprime animal;glamour;noir;;teeshirt_motif.png
26;Elegant et brillant;glamour;;;montre_gris.png
27;Elegant sous la pluie;glamour;mode;;parapluie_gris.png
28;Entretien d'embauche;city;;;
29;Glamour avec du rouge;glamour;rouge;chemise;chemise_blanche.png
30;Glamour sans porter de noir;glamour;-noir;;
31;Inauguration d'une ecole en presence du maire;city;mode;;
32;Invitation a la ceremonie des Cesar;mode;glamour;ceremonie;
33;Invitation a monter les marches a Cannes;ceremonie;chemise;glamour;
34;Invitation a une tribune VIP au LOSC;casual;rando;rouge;basket_sport_bleu.png
35;Irresistible au bal des pompiers;chemise;glamour;;
36;Irresistible avec du bordeaux;glamour;violet;chemise;
37;Irresistible en manteau;ceremonie;;;
38;Irresistible pour le 31 decembre;glamour;ceremonie;;
39;L'anniversaire surprise de votre amoureux;glamour;chemise;;
40;Magnifique a la plage;ete;tete;;
41;Mariage avec chapeau obligatoire;tete;ceremonie;;
42;Mariage de votre fille;ceremonie;chemise;;noeud_papillon_noir.png
43;Mettez vos epaules en valeur;casual;debardeur;;
44;Mettez vos jambes en valeur;ete;;;
45;Mettez votre fessier en valeur !;ete;;;
46;Moderne avec des bottines;mode;;;bottine_marron.png
47;Moderne avec un total look jean;jean;;;
48;Original avec une veste;mode;;;veste_fleuri.png
49;Original en jean;mode;jean;;
50;Originale en noir;mode;noir;;
51;Osez la transparence chic !;glamour;;;teeshirt_blanc.png
52;Pendaison de cremaillèere de votre meilleure amie;mode;casual;;
53;Pique-nique chic dans les jardins du parc du heron;glamour;rando;;bateau_bleu.png
54;Pour la soiree du nouvel an;ceremonie;glamour;;
55;Pour ma feête d'anniversaire;mode;casual;;
56;Pour un look d'homme fatal;ceremonie;noir;glamour;
57;Premier reveillon de Noël avec sa belle-famille;mode;chemise;;
58;Rajeunissez-vous !;mode;imprime;;
59;Rencontre avec la belle-famille;mode;city;;
60;Rendez-vous galant avec Daenerys Targarien;ceremonie;city;;
61;Rendez-vous galant avec un homme rencontre sur Internet;ceremonie;city;;
62;Rond et branche;mode;tete;;
63;Rond, sexy et style;tete;mode;;
65;Seduisant en cuir;cuir;glamour;noir;chic_noir.png
66;Seduisant en hiver;hiver;maille;noir;
67;Seduisant en imprimes fleuris;glamour;;;polo_fleuri.png
68;Sexy avec des bottes;glamour;noir;;botte_grise.png
69;Sexy pour la Saint-Valentin;glamour;rouge;noir;
70;Soiree a l'opera;ceremonie;glamour;noir;
71;Soiree foot entre potes;debardeur;casual;;basket_bleu.png
72;Soyez chic en mixant les matières;maille;cuir;glamour;
73;Speed dating;glamour;noir;blanc;
74;Sportswear chic;rando;glamour;;
75;Temoin de mariage;chemise;ceremonie;;
76;Tendance avec du rose;rose;mode;;
77;Tendance avec un look bohème;mode;imprime;;
78;10e anniversaire de mariage;ceremonie;chemise;;
79;Aprèes le travail, y aura foot en salle;city;rando;;basket_bleu.png
80;Ce soir, je surfe en caleçcon;slip;casual;;
81;Comme un roumain au feu rouge;fripe;imprime;;
82;Eleveur d'abeilles;rando;;;chapeau_blanc.png
83;Fan d'Eddy Mitchell;noir;ceremonie;casual;
84;Friday Wear;casual;;;
85;Geek un jour, geek toujours;casual;nuit;;teeshirt_pyjama_nleu.png
86;Innovant mais pas trop;mode;casual;;chemise_motif.png
87;Je ne ressemble a rien;fripe;ceremonie;;
88;Je suis architecte technique;casual;;;
89;Je suis vert !;vert;;;
90;Le 3eme freère Bogdanov;jean;noir;casual;
91;Masculin avec une chemise blanche;city;;;chemise_blanche.png
92;Masculin en baskets;city;;;basket_blanche.png
93;Masculin en kaki militaire;city;;;jogging_militaire.png
94;Masculin et felin;city;;;
95;Prêt pour l'offsite;casual;rando;;
96;Professionnel pour un kick-off projet;city;mode;;
97;Seul a la saint-valentin;nuit;casual;slip;
98;Soiree MMORPG devant mon PC;slip;nuit;;
99;Vous negociez une augmentation;city;chemise;;
100;Vous remplacez la dame de l'accueil;city;bleu;noir;